Timestamp,HandLimb,Joint,Row,Column
75,Thumb,surface,8,2,
75,Thumb,surface,9,2,
75,Thumb,surface,10,0,
75,Thumb,surface,10,1,
75,Thumb,surface,7,0,
75,Thumb,surface,8,0,
75,Thumb,surface,9,0,
76,Thumb,surface,8,1,
76,Thumb,surface,8,3,
76,Thumb,surface,9,3,
76,Thumb,surface,10,3,
76,Thumb,surface,9,1,
76,Thumb,surface,10,2,
76,Thumb,surface,8,2,
76,Thumb,surface,9,2,
76,Thumb,surface,10,0,
76,Thumb,surface,10,1,
76,Thumb,surface,11,1,
76,Thumb,surface,8,0,
76,Thumb,surface,11,0,
76,Thumb,surface,11,2,
76,Thumb,surface,9,0,
77,Thumb,surface,11,5,
77,Thumb,surface,11,3,
77,Thumb,surface,9,3,
77,Thumb,surface,10,3,
77,Thumb,surface,9,1,
77,Thumb,surface,10,2,
77,Thumb,surface,9,2,
77,Thumb,surface,9,4,
77,Thumb,surface,10,1,
77,Thumb,surface,10,4,
77,Thumb,surface,11,1,
77,Thumb,surface,11,4,
77,Thumb,surface,10,5,
77,Thumb,surface,11,2,
78,Thumb,surface,11,5,
78,Thumb,surface,11,3,
78,Thumb,surface,9,3,
78,Thumb,surface,10,3,
78,Palm,surface,16,5,
78,Thumb,surface,10,2,
78,Palm,surface,16,6,
78,Thumb,surface,9,2,
78,Thumb,surface,9,4,
78,Thumb,surface,10,4,
78,Palm,surface,15,6,
78,Thumb,surface,11,4,
78,Thumb,surface,10,5,
78,Thumb,surface,11,2,
79,Palm,surface,14,7,
79,Thumb,surface,11,5,
79,Thumb,surface,9,5,
79,Palm,surface,14,8,
79,Thumb,surface,10,6,
79,Thumb,surface,11,6,
79,Palm,surface,16,8,
79,Palm,surface,16,6,
79,Palm,surface,16,9,
79,Palm,surface,15,9,
79,Palm,surface,16,7,
79,Palm,surface,17,8,
79,Thumb,surface,10,4,
79,Palm,surface,15,6,
79,Thumb,surface,11,4,
79,Thumb,surface,10,5,
79,Palm,surface,14,6,
79,Palm,surface,15,7,
79,Palm,surface,15,8,
79,Palm,surface,17,7,
79,Palm,surface,17,6,
79,Thumb,surface,9,6,
80,Palm,surface,14,7,
80,Thumb,surface,11,5,
80,Palm,surface,14,9,
80,Palm,surface,14,10,
80,Palm,surface,14,8,
80,Thumb,surface,10,6,
80,Thumb,surface,11,6,
80,Palm,surface,16,8,
80,Palm,surface,15,10,
80,Palm,surface,16,9,
80,Palm,surface,15,9,
80,Palm,surface,16,7,
80,Palm,surface,13,7,
80,Palm,surface,16,10,
80,Palm,surface,13,9,
80,Palm,surface,15,7,
80,Palm,surface,15,8,
80,Palm,surface,13,8,
80,Thumb,surface,9,6,
81,Palm,surface,14,9,
81,Palm,surface,14,10,
81,Palm,surface,14,8,
81,Palm,surface,13,11,
81,Palm,surface,12,10,
81,Palm,surface,15,10,
81,Palm,surface,12,11,
81,Palm,surface,15,9,
81,Palm,surface,15,11,
81,Palm,surface,14,11,
81,Palm,surface,13,9,
81,Palm,surface,12,9,
81,Palm,surface,13,8,
81,Palm,surface,13,10,
82,Palm,surface,13,11,
82,Palm,surface,12,11,
82,Palm,surface,12,12,
89,Palm,surface,1,10,
89,Palm,surface,2,12,
89,Palm,surface,0,11,
89,Palm,surface,1,12,
89,Palm,surface,0,12,
89,Palm,surface,2,11,
89,Ring,a,8,2,
89,Palm,surface,1,11,
89,Ring,a,8,1,
90,Palm,surface,0,10,
90,Palm,surface,1,10,
90,Palm,surface,0,9,
90,Palm,surface,2,10,
90,Palm,surface,0,11,
90,Palm,surface,1,9,
90,Ring,a,8,0,
90,Ring,a,7,1,
90,Palm,surface,2,11,
90,Ring,a,8,2,
90,Palm,surface,1,11,
90,Ring,a,7,0,
90,Ring,a,8,1,
91,Palm,surface,0,10,
91,Palm,surface,1,10,
91,Palm,surface,0,9,
91,Palm,surface,1,8,
91,Palm,surface,1,9,
91,Ring,a,8,0,
91,Palm,surface,1,7,
91,Palm,surface,2,8,
91,Palm,surface,0,7,
91,Palm,surface,2,9,
91,Palm,surface,0,8,
91,Ring,a,7,0,
91,Palm,surface,2,7,
92,Palm,surface,0,6,
92,Palm,surface,1,5,
92,Palm,surface,0,9,
92,Palm,surface,1,6,
92,Palm,surface,2,6,
92,Palm,surface,1,8,
92,Palm,surface,1,9,
92,Palm,surface,1,7,
92,Palm,surface,2,8,
92,Palm,surface,0,7,
92,Palm,surface,0,8,
92,Middle,a,8,2,
92,Palm,surface,2,7,
93,Palm,surface,0,6,
93,Palm,surface,1,5,
93,Palm,surface,3,6,
93,Palm,surface,1,6,
93,Palm,surface,2,6,
93,Palm,surface,2,4,
93,Palm,surface,3,4,
93,Palm,surface,1,7,
93,Palm,surface,1,4,
93,Palm,surface,0,7,
93,Palm,surface,0,5,
93,Palm,surface,2,5,
93,Palm,surface,3,5,
93,Palm,surface,0,4,
93,Palm,surface,2,7,
94,Palm,surface,1,5,
94,Palm,surface,3,6,
94,Palm,surface,1,6,
94,Palm,surface,2,6,
94,Palm,surface,1,3,
94,Palm,surface,2,4,
94,Palm,surface,3,4,
94,Palm,surface,3,3,
94,Palm,surface,1,4,
94,Palm,surface,2,3,
94,Palm,surface,0,5,
94,Palm,surface,2,5,
94,Palm,surface,3,5,
94,Palm,surface,0,4,
95,Palm,surface,4,4,
95,Palm,surface,4,1,
95,Palm,surface,2,2,
95,Palm,surface,4,2,
95,Palm,surface,1,2,
95,Palm,surface,4,3,
95,Palm,surface,1,3,
95,Palm,surface,2,4,
95,Palm,surface,3,4,
95,Palm,surface,3,3,
95,Palm,surface,1,4,
95,Palm,surface,2,3,
95,Palm,surface,3,2,
95,Palm,surface,3,1,
95,Palm,surface,2,1,
96,Palm,surface,3,0,
96,Palm,surface,4,1,
96,Palm,surface,2,2,
96,Palm,surface,4,2,
96,Palm,surface,4,3,
96,Palm,surface,4,0,
96,Palm,surface,5,2,
96,Palm,surface,5,1,
96,Palm,surface,3,3,
96,Palm,surface,5,3,
96,Palm,surface,2,3,
96,Palm,surface,3,2,
96,Palm,surface,3,1,
96,Palm,surface,2,1,
97,Thumb,surface,1,4,
97,Thumb,surface,1,3,
97,Palm,surface,3,0,
97,Palm,surface,4,1,
97,Palm,surface,6,0,
97,Palm,surface,4,2,
97,Thumb,surface,0,5,
97,Palm,surface,7,1,
97,Palm,surface,4,0,
97,Palm,surface,5,2,
97,Palm,surface,5,1,
97,Palm,surface,6,1,
97,Thumb,surface,0,4,
97,Thumb,surface,0,2,
97,Palm,surface,5,0,
97,Palm,surface,6,2,
97,Palm,surface,3,1,
97,Thumb,surface,0,3,
98,Thumb,surface,1,4,
98,Thumb,surface,1,3,
98,Thumb,surface,0,0,
98,Thumb,surface,3,1,
98,Palm,surface,9,1,
98,Palm,surface,6,0,
98,Palm,surface,8,1,
98,Thumb,surface,2,2,
98,Palm,surface,7,1,
98,Thumb,surface,2,1,
98,Thumb,surface,1,1,
98,Thumb,surface,2,0,
98,Palm,surface,6,1,
98,Thumb,surface,1,2,
98,Palm,surface,9,0,
98,Palm,surface,7,0,
98,Thumb,surface,0,1,
98,Thumb,surface,0,2,
98,Thumb,surface,2,3,
98,Thumb,surface,3,2,
98,Palm,surface,8,0,
98,Thumb,surface,1,0,
98,Thumb,surface,2,4,
98,Thumb,surface,0,3,
99,Thumb,surface,3,1,
99,Palm,surface,12,0,
99,Palm,surface,10,1,
99,Palm,surface,11,1,
99,Thumb,surface,2,1,
99,Thumb,surface,2,0,
99,Thumb,surface,3,0,
99,Palm,surface,9,0,
99,Thumb,surface,4,1,
