Timestamp,HandLimb,Joint,Row,Column
1794,Palm,surface,2,1,
1794,Palm,surface,2,0,
1794,Palm,surface,3,1,
1794,Palm,surface,4,1,
1794,Palm,surface,3,0,
1794,Palm,surface,5,1,
1794,Palm,surface,5,0,
1795,Palm,surface,4,0,
1795,Palm,surface,6,1,
1795,Thumb,surface,2,5,
1795,Palm,surface,5,2,
1795,Palm,surface,8,1,
1795,Palm,surface,7,1,
1795,Palm,surface,4,2,
1795,Thumb,surface,1,6,
1795,Thumb,surface,0,6,
1795,Palm,surface,4,1,
1795,Palm,surface,6,0,
1795,Palm,surface,7,2,
1795,Palm,surface,5,1,
1795,Thumb,surface,2,6,
1795,Palm,surface,6,2,
1795,Palm,surface,7,0,
1795,Thumb,surface,1,5,
1795,Thumb,surface,0,5,
1795,Palm,surface,5,0,
1796,Palm,surface,7,3,
1796,Palm,surface,9,1,
1796,Palm,surface,6,1,
1796,Thumb,surface,2,5,
1796,Palm,surface,9,3,
1796,Palm,surface,8,1,
1796,Palm,surface,7,1,
1796,Palm,surface,9,2,
1796,Palm,surface,8,3,
1796,Palm,surface,8,2,
1796,Thumb,surface,3,5,
1796,Thumb,surface,4,5,
1796,Palm,surface,6,3,
1796,Palm,surface,7,2,
1796,Thumb,surface,2,6,
1796,Palm,surface,6,2,
1796,Palm,surface,7,0,
1796,Thumb,surface,4,6,
1796,Palm,surface,8,0,
1796,Thumb,surface,3,6,
1797,Palm,surface,11,2,
1797,Palm,surface,9,1,
1797,Thumb,surface,6,5,
1797,Palm,surface,10,2,
1797,Thumb,surface,5,5,
1797,Palm,surface,9,3,
1797,Thumb,surface,5,6,
1797,Palm,surface,9,2,
1797,Palm,surface,8,3,
1797,Palm,surface,8,2,
1797,Thumb,surface,3,5,
1797,Thumb,surface,4,5,
1797,Palm,surface,11,3,
1797,Thumb,surface,6,6,
1797,Palm,surface,11,4,
1797,Palm,surface,10,1,
1797,Palm,surface,9,4,
1797,Palm,surface,10,3,
1797,Palm,surface,8,4,
1797,Thumb,surface,4,6,
1797,Thumb,surface,5,4,
1797,Thumb,surface,3,6,
1797,Palm,surface,10,4,
1798,Palm,surface,11,2,
1798,Thumb,surface,7,4,
1798,Thumb,surface,6,5,
1798,Thumb,surface,8,5,
1798,Thumb,surface,5,5,
1798,Palm,surface,13,3,
1798,Thumb,surface,7,5,
1798,Thumb,surface,5,6,
1798,Palm,surface,12,2,
1798,Palm,surface,13,4,
1798,Thumb,surface,8,6,
1798,Palm,surface,11,3,
1798,Thumb,surface,6,6,
1798,Palm,surface,11,4,
1798,Thumb,surface,6,4,
1798,Palm,surface,10,3,
1798,Thumb,surface,7,6,
1798,Palm,surface,13,2,
1798,Palm,surface,12,3,
1798,Palm,surface,10,4,
1798,Palm,surface,12,4,
1798,Thumb,surface,8,4,
1799,Thumb,surface,9,4,
1799,Thumb,surface,7,4,
1799,Palm,surface,15,4,
1799,Thumb,surface,8,5,
1799,Thumb,surface,9,5,
1799,Palm,surface,13,3,
1799,Thumb,surface,7,5,
1799,Palm,surface,14,2,
1799,Palm,surface,13,4,
1799,Thumb,surface,8,6,
1799,Palm,surface,15,3,
1799,Thumb,surface,8,3,
1799,Thumb,surface,10,6,
1799,Thumb,surface,10,5,
1799,Thumb,surface,9,6,
1799,Thumb,surface,10,4,
1799,Palm,surface,14,4,
1799,Thumb,surface,7,6,
1799,Palm,surface,13,2,
1799,Palm,surface,14,3,
1799,Palm,surface,12,3,
1799,Thumb,surface,9,3,
1799,Palm,surface,14,5,
1799,Thumb,surface,8,4,
1800,Thumb,surface,9,4,
1800,Thumb,surface,10,3,
1800,Palm,surface,15,4,
1800,Thumb,surface,9,5,
1800,Thumb,surface,11,6,
1800,Thumb,surface,11,5,
1800,Thumb,surface,10,6,
1800,Thumb,surface,10,5,
1800,Thumb,surface,9,6,
1800,Thumb,surface,10,4,
1800,Thumb,surface,11,3,
1800,Thumb,surface,11,4,
1801,Thumb,surface,9,4,
1801,Thumb,surface,10,3,
1801,Thumb,surface,9,5,
1801,Thumb,surface,11,6,
1801,Thumb,surface,11,5,
1801,Thumb,surface,10,6,
1801,Thumb,surface,10,5,
1801,Thumb,surface,10,4,
1801,Thumb,surface,11,3,
1801,Thumb,surface,11,4,
1802,Thumb,surface,9,4,
1802,Thumb,surface,10,3,
1802,Thumb,surface,9,5,
1802,Thumb,surface,11,6,
1802,Thumb,surface,11,5,
1802,Thumb,surface,10,6,
1802,Thumb,surface,10,5,
1802,Thumb,surface,10,4,
1802,Thumb,surface,11,3,
1802,Thumb,surface,11,4,
1803,Thumb,surface,9,4,
1803,Thumb,surface,10,3,
1803,Palm,surface,15,4,
1803,Thumb,surface,9,5,
1803,Thumb,surface,11,6,
1803,Thumb,surface,11,5,
1803,Thumb,surface,9,6,
1803,Thumb,surface,10,6,
1803,Thumb,surface,10,5,
1803,Thumb,surface,8,5,
1803,Thumb,surface,10,4,
1803,Palm,surface,15,5,
1803,Palm,surface,14,4,
1803,Thumb,surface,11,4,
1804,Thumb,surface,9,4,
1804,Thumb,surface,8,6,
1804,Palm,surface,15,4,
1804,Palm,surface,13,4,
1804,Thumb,surface,9,5,
1804,Palm,surface,13,3,
1804,Palm,surface,14,5,
1804,Thumb,surface,9,6,
1804,Palm,surface,15,3,
1804,Thumb,surface,10,6,
1804,Thumb,surface,10,5,
1804,Thumb,surface,8,5,
1804,Thumb,surface,10,4,
1804,Palm,surface,14,3,
1804,Thumb,surface,7,5,
1804,Thumb,surface,8,4,
1804,Thumb,surface,9,3,
1804,Palm,surface,14,4,
1805,Thumb,surface,9,4,
1805,Thumb,surface,8,6,
1805,Palm,surface,12,3,
1805,Palm,surface,13,4,
1805,Thumb,surface,9,5,
1805,Palm,surface,13,3,
1805,Palm,surface,12,4,
1805,Thumb,surface,7,6,
1805,Palm,surface,11,4,
1805,Palm,surface,13,2,
1805,Thumb,surface,9,6,
1805,Palm,surface,12,2,
1805,Palm,surface,13,5,
1805,Thumb,surface,6,4,
1805,Thumb,surface,6,6,
1805,Thumb,surface,8,5,
1805,Thumb,surface,6,5,
1805,Palm,surface,14,3,
1805,Thumb,surface,7,5,
1805,Palm,surface,12,5,
1805,Thumb,surface,8,4,
1805,Palm,surface,11,3,
1805,Palm,surface,14,2,
1805,Palm,surface,14,4,
1805,Thumb,surface,7,4,
1806,Palm,surface,10,3,
1806,Thumb,surface,8,6,
1806,Palm,surface,12,3,
1806,Palm,surface,13,4,
